SERIES,SYMBOL,SECURITY,RECORD_DT,BC_STRT_DT,BC_END_DT,EX_DT,ND_STRT_DT,ND_END_DT,PURPOSE
16,SRTRANSFIN,Sec Red NCD 9.3 Sr.IV,07/08/2021, , ,05/08/2021, , ,INTEREST PAYMENT         
17,SRTRANSFIN,Sec Red NCD 9.5% Sr.V,07/08/2021, , ,05/08/2021, , ,INTEREST PAYMENT         
18,SRTRANSFIN,Sec Red NCD 9.6% Sr.VI,07/08/2021, , ,05/08/2021, , ,INTEREST PAYMENT         
19,SRTRANSFIN,Sec Red NCD 9.7% Sr.VII,07/08/2021, , ,05/08/2021, , ,INTEREST PAYMENT         
BE,LTI,L&T Infotech Limited,02/07/2021, , ,01/07/2021, , ,DIV - RS 25 PER SH       
BE,PDMJEPAPER,Pudumjee Paper Pro. Ltd, ,14/08/2021,21/08/2021,12/08/2021, , ,AGM/DIV - RE 0.30 PER SH 
BE,LSIL,Lloyds Steels Ind. Ltd., ,09/07/2021,15/07/2021,07/07/2021, , ,ANNUAL GENERAL MEETING   
BE,BALKRISHNA,Balkrshna Paper Mills Ltd, ,17/07/2021,23/07/2021,15/07/2021, , ,ANNUAL GENERAL MEETING   
BE,CROMPTON,Crompt Grea Con Elec Ltd,09/07/2021, , ,08/07/2021, , ,AGM/DIV - RS 2.50 PER SH 
BE,KIRLFER,Kirloskar Ferrous Ind Ltd, ,18/07/2021,27/07/2021,15/07/2021, , ,AGM/DIV-RS 3 PER SH      
BE,GPTINFRA,GPT Infraprojects Ltd, ,13/08/2021,19/08/2021,11/08/2021, , ,AGM/DIV - RE 1 PER SH    
BE,LTTS,L&T Technology Ser. Ltd., ,10/07/2021,16/07/2021,08/07/2021, , ,AGM/DIV-RS 14.50 PER SH  
BE,SHANKARA,Shankara Bldg Product Ltd, ,27/07/2021,29/07/2021,23/07/2021, , ,ANNUAL GENERAL MEETING   
BE,GODREJAGRO,Godrej Agrovet Limited, ,06/08/2021,09/08/2021,04/08/2021, , ,AGM/DIV - RS 8 PER SH    
BE,TCPLPACK,TCPL Packaging Limited, ,21/08/2021,27/08/2021,18/08/2021, , ,AGM/DIV - RS 7.35 PER SH 
BE,LAURUSLABS,Laurus Labs Limited, ,09/07/2021,15/07/2021,07/07/2021, , ,ANNUAL GENERAL MEETING   
BE,TIINDIA,Tube Invest of India Ltd, ,06/08/2021,13/08/2021,04/08/2021, , ,AGM/DIV-RS 1.50 PER SH   
BE,GREENPANEL,Greenpanel Industries Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,ANNUAL GENERAL MEETING   
BE,MAHLOG,Mahindra Logistic Limited, ,21/07/2021,27/07/2021,19/07/2021, , ,DIV - RS 2.50  PER SH    
BE,IFGLEXPOR,IFGL Refractories Limited, ,31/07/2021,07/08/2021,29/07/2021, , ,AGM/DIV-RS 4/SPLDIV-RS 6 
BE,HITECHCORP,Hitech Corporation Ltd,22/07/2021, , ,20/07/2021, , ,DIV - RE 1 PER SH        
BE,BSE,BSE Limited,06/08/2021, , ,05/08/2021, , ,DIV - RS 21 PER SH       
BE,CHEMBOND,Chembond Chemicals Ltd, ,09/07/2021,16/07/2021,07/07/2021, , ,AGM/DIV-RS 2.25 PER SH   
BE,ENDURANCE,Endurance Techno. Ltd., ,14/08/2021,25/08/2021,12/08/2021, , ,AGM/DIV - RS 6 PER SH    
BE,SALASAR,Salasar Techno Engg. Ltd.,14/07/2021, , ,13/07/2021, , ,BONUS 1:1                
BE,TATASTLLP,Tata Steel Long Pro Ltd, ,24/07/2021,05/08/2021,22/07/2021, , ,AGM/DIV - RS 5 PER SH    
BE,GMMPFAUDLR,GMM Pfaudler Limited, ,07/08/2021,13/08/2021,05/08/2021, , ,AGM/DIV - RS 2 PER SH    
BE,HDFCAMC,HDFC AMC Limited, ,01/07/2021,16/07/2021,29/06/2021, , ,AGM/DIV - RS 34 PER SH   
BE,PRIVISCL,Privi Speciality Che Ltd, ,20/08/2021,27/08/2021,17/08/2021, , ,ANNUAL GENERAL MEETING   
BE,PRIVISCL,Privi Speciality Che Ltd,18/08/2021, , ,17/08/2021, , ,DIV - RS 2 PER SH        
BE,NEWGEN,Newgen Software Tech Ltd,16/07/2021, , ,15/07/2021, , ,AGM/DIV-RS 3.50 PER SH   
BE,DVL,Dhunseri Petrochem Limite, ,07/08/2021,13/08/2021,05/08/2021, , ,AGM/DIV - RS 2.50 PER SH 
BE,AMJLAND,AMJ Land Holdings Limited, ,14/08/2021,21/08/2021,12/08/2021, , ,AGM/DIV - RE 0.20 PER SH 
BE,3PLAND,3P Land Holdings Limited, ,20/08/2021,31/08/2021,17/08/2021, , ,ANNUAL GENERAL MEETING   
BE,FINEORG,Fine Organic Ind. Ltd., ,18/08/2021,24/08/2021,13/08/2021, , ,AGM/DIV RS 6/SPLDIV RS 5 
BE,SUNDARMHLD,Sundaram Finance Hold Ltd, ,01/07/2021,14/07/2021,29/06/2021, , ,AGM/DIV - RS 0.50 PER SH 
BE,BANDHANBNK,Bandhan Bank Limited, ,31/07/2021,06/08/2021,29/07/2021, , ,AGM/DIV - RE 1 PER SH    
BE,ORIENTELEC,Orient Electric Limited, ,23/07/2021,29/07/2021,20/07/2021, , ,AGM/DIV - RS 1.25 PER SH 
BE,ADANIGREEN,Adani Green Energy Ltd, ,06/07/2021,13/07/2021,02/07/2021, , ,ANNUAL GENERAL MEETING   
BE,MAHEPC,Mahindra EPC Irrig Ltd, ,16/07/2021,22/07/2021,14/07/2021, , ,AGM/DIV - RS 1.20 PER SH 
BE,SUVENPHAR,Suven Pharmaceuticals Ltd,17/08/2021, , ,13/08/2021, , ,AGM/DIV - RE 1 PER SH    
BE,ARTEMISMED,Artemis Med Services Ltd, ,14/07/2021,20/07/2021,12/07/2021, , ,ANNUAL GENERAL MEETING   
BE,HAPPSTMNDS,Happiest Minds Techno Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,AGM/DIV - RS 3 PER SH    
BE,CAMS,Computer Age Mngt Ser Ltd,29/07/2021, , ,28/07/2021, , ,DIV - RS 11.84 PER SH    
BE,KHAICHEM,Khaitan Chem & Fert Ltd, ,01/07/2021,07/07/2021,29/06/2021, , ,AGM/DIV - RE 0.15 PER SH 
