SECURITY,NEW,PREVIOUS,NEW_STATUS
FORTIS HEALTHCARE LTD,249.5,247.75,H
HAPPIEST MINDS TECHNO LTD,1193.7,1020,H
JSW ENERGY LIMITED,177,171.65,H
MAGADH SUGAR & ENERGY LTD,352.6,335.85,H
MPHASIS LIMITED,2184,2144.3,H
NITIN FIRE PROT IND. LTD.,1.4,1.35,H
ONE POINT ONE SOL LTD,32.85,31.3,H
PITTI ENGINEERING LIMITED,145,140.1,H
PROSEED INDIA LTD,5.1,4.9,H
RAJRATAN GLOBAL WIRE LTD,1848,1557.1,H
TEJAS NETWORKS LIMITED,185.4,182.55,H
ECLERX SERVICES LTD,2035.35,1938.55,H
HIND NATL GLASS & IND LTD,50.5,40.1,H
NDR AUTO COMPONENTS LTD,340.4,324.5,H
PRIVI SPECIALITY CHE LTD,1276,1188,H
RAMKY INFRA LTD,182.15,173.5,H
RATTANINDIA ENT LIMITED,46.5,44.3,H
TIRUPATI FORGE LIMITED,34.15,33.3,H
UNIVASTU INDIA LIMITED,51.15,49.55,H
VARDHMAN SPC STEEL LTD,252.8,245.9,H
ADOR WELDING LTD,716.3,702.7,H
BCL INDUSTRIES LIMITED,279,276.6,H
SEC RE NCD 6.75% SR. I,1011,1001,H
KPIT TECHNOLOGIES LIMITED,274,266.45,H
LOTUS EYE HOSP & INST L,54.45,41.35,H
SEC RED NCD SR. VI,1270.05,1268,H
TATA ELXSI LIMITED,4410,4350,H
ARTEMIS MED SERVICE LTD,338.8,330,H
BIRLA CABLE LIMITED,115,97.25,H
BOMBAY SUPER HYBRID SEEDS,236.95,229,H
CREATIVE PERI & DIST LTD.,186.95,178.05,H
DR. REDDY'S LABORATORIES,5580,5515,H
GANGA FORGING LIMITED,93.1,92.95,H
INOX WIND ENERGY LIMITED,452.6,308.5,H
KEI INDUSTRIES LTD.,763.65,731,H
MADHYA BHARAT AGRO P. LTD,134.9,129,H
NANDAN DENIM LIMITED,52.15,50.5,H
REMSONS INDUSTRIES LTD,298.85,274.7,H
SAKSOFT LIMITED,640.7,606.2,H
SRF LTD,7406,7310,H
GOI LOAN  5.85% 2030,100,99.79,H
CARBORUNDUM UNIVERSAL LTD,645,627,H
GANDHI SPL. TUBES LTD,463.95,443.95,H
GLOBE TEXTILES (I) LTD.,138.6,132,H
7.36% TAX FREE NCD,1240,1238.5,H
SAKAR HEALTHCARE LIMITED,187.6,160.4,H
TATA TELESERV(MAHARASTRA),46.8,44.6,H
VINEET LABORATORIES LTD,88,80.8,H
ANJANI PORTLAND CEM LTD,383,360,H
CAMLIN FINE SCIENCES LTD,199.4,196.9,H
COFORGE LIMITED,4205.1,4174,H
ICICIPRAMC - ICICIPHARM,94,89.96,H
J B CHEMICALS AND PHARMA,1698.9,1684.3,H
LGB FORGE LIMITED,8.75,7.6,H
MAX HEALTHCARE INS LTD,268.8,265,H
NEULAND LAB LTD.,2199,2179,H
PERSISTENT SYSTEMS LTD,3016.1,2988,H
PREMIER POLYFILM LTD,76.35,65.6,H
RUSHIL DECOR LIMITED,287.5,280.55,H
SAREGAMA INDIA LIMITED,3219.9,3209.95,H
SASKEN TECHNOLOGIES LTD,1280,1227.1,H
SHIVA MILLS LIMITED,89.35,87.35,H
STERLITE TECHNOLOGIES LTD,281.65,280,H
TIPS INDUSTRIES LTD.,1508,1438.8,H
DIGICONTENT LIMITED,17.05,16.25,H
SEC RED NCD SR. IV,1270,1260,H
ENDURANCE TECHNO. LTD.,1715.55,1648,H
SRI HAVISHA HOSP & INFR L,2.2,2.1,H
INDIA GLYCOLS LTD,763.7,659.9,H
ISMT LIMITED,28.1,26.8,H
POLYCAB INDIA LIMITED,2033,2008.3,H
PROLIFE INDUSTRIES LTD,105.5,102.75,H
SUUMAYA INDUSTRIES LTD,637.05,606.95,H
VLS FINANCE LTD,223.95,195.2,H
WONDER FIBROMATS LIMITED,116.3,110.8,H
AIRAN LIMITED,28,14.55,H
APOLLO HOSPITALS ENTER. L,3696.95,3659.85,H
BRIGHTCOM GROUP LIMITED,23.45,22.35,H
CIGNITI TECHNOLOGIES LTD,668,644,H
COSMO FILMS LTD,1047.95,987,H
DCM SHRIRAM LIMITED,924.6,918,H
GLOBUS SPIRITS LTD,712,678.1,H
INDOSOLAR LIMITED,4.25,4.05,H
JK PAPER LIMITED,226.85,218,H
MACPOWER CNC MACHINES LTD,164,163.8,H
MAWANA SUGARS LIMITED,79.65,75.9,H
NITIN SPINNERS LIMITED,151.8,150.5,H
SKF INDIA LTD,2758.8,2727,H
UFLEX LIMITED,593.9,572.9,H
VISHNU CHEMICALS LIMITED,591.8,564.65,H
ABHISHEK INTEGRATIONS LTD,29.45,31,L
JSW ISPAT SPE PRO LTD,36,36.95,L
ORCHID PHARMA LIMITED,868.05,913.7,L
VIKAS LIFECARE LIMITED,2.65,2.75,L
GODHA CABCON INSULAT LTD,36.6,37.05,L
JAIPRAKASH ASSOCIATES LTD,11.95,12.4,L
ADANI TOTAL GAS LIMITED,968.9,1019.85,L
KRISHNA INST OF MED SCI L,937.55,938.1,L
SHIVALIK BIMETAL CON. LTD,115.1,115.3,L
ADANI POWER LTD,107.8,109.2,L
B.C. POWER CONTROLS LTD,3.7,3.75,L
MT EDUCARE LTD,9.7,9.8,L
VICEROY HOTELS LIMITED,3.55,3.6,L
UNS RED NCD SR. VI,364.96,380.16,L
BANNARI AM SPIN MILL LTD.,70.2,73,L

