MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,N1,IRFC,BOND 8.00% PA TAX FREE S1,      1081.00,      1080.25,      1080.25,      1080.25,      1080.25,                   101543.50,94, ,1,      1194.00,      1050.00
N,N1,NHAI,BOND 8.20% PA TAX FREE S1,      1085.00,      1086.70,      1087.00,      1083.00,      1087.00,                   438614.30,404, ,9,      1140.00,      1045.00
N,N2,BRITANNIA,8.00% SEC RED NCD,        32.75,        32.75,        32.94,        32.75,        32.78,                   376160.46,11467, ,51,        36.00,        29.90
N,N2,HUDCO,8.20 NCD05MAR27 FV 1000,      1225.08,      1232.50,      1232.50,      1216.10,      1224.35,                  4334190.36,3534, ,34,      1311.00,      1171.00
N,N2,IIFL,SEC RED NCD 9.60 % SR. I,      1036.87,      1031.05,      1035.05,      1031.05,      1035.00,                    58973.45,57, ,6,      1178.65,       945.60
N,N2,IREDA,IREDA 8.55NCDTR I SR II A,      1247.60,      1489.00,      1489.00,      1489.00,      1489.00,                     1489.00,1, ,1,      1999.99,      1228.45
N,N2,IRFC,BOND 8.10% PA TAX FREE S2,      1238.00,      1248.00,      1248.00,      1232.00,      1236.00,                  5177549.51,4166, ,19,      1298.90,      1175.00
N,N2,M&MFIN,9.00% UNSECURED NCD,      1085.00,      1090.00,      1090.00,      1086.00,      1089.00,                    65340.00,60, ,5,      1229.00,      1019.00
N,N2,NABARD,7.64% TAX FREE TRI SRIIB,      1246.90,      1237.05,      1249.00,      1237.00,      1245.68,                  4010367.20,3220, ,46,      1304.80,      1181.00
N,N2,NHAI,BOND 8.30% PA TAX FREE S2,      1259.30,      1265.00,      1265.00,      1258.00,      1258.92,                 11874988.82,9439, ,21,      1295.99,      1176.00
N,N2,PFC,7.36% TAX FREE NCD,      1192.03,      1240.00,      1240.00,      1180.00,      1180.00,                   121000.00,100, ,2,      1240.00,      1142.30
N,N2,RECLTD,TAXFREE SEC NCD TR1 S2,      1205.00,      1205.00,      1205.00,      1200.01,      1200.01,                  1551102.70,1290, ,7,      1288.00,      1160.00
N,N3,DHANILOANS,DHANI LOANS & SERV LTD,      1007.00,      1000.50,      1008.00,      1000.50,      1008.00,                   205602.00,204, ,2,      1030.00,       810.00
N,N3,EHFLNCD,SEC RED NCD 9.75% SR. III,      1080.56,      1000.00,      1072.03,      1000.00,      1072.03,                    36792.33,36, ,2,      1088.99,       850.00
N,N3,ERFLNCDI,SEC RED NCD 8.65% SR. III,       949.00,       960.00,       960.00,       959.99,       959.99,                     3839.98,4, ,3,       985.00,       730.00
N,N3,HUDCO,8.10 NCD 05MAR22 FV 1000,      1053.00,      1051.00,      1051.00,      1050.00,      1050.02,                   231029.50,220, ,13,      1320.00,      1000.00
N,N3,IIFL,SEC RED NCD SR. II,      1250.00,      1231.05,      1232.00,      1230.00,      1231.05,                    67731.10,55, ,5,      1250.00,       885.00
N,N3,M&MFIN,UNSECURED NCD,      1710.00,      1700.00,      1700.00,      1695.00,      1695.00,                  2586405.00,1522, ,10,      1710.00,      1325.40
N,N3,PFC,7.60% TAX FREE NCD,      1340.00,      1330.00,      1330.00,      1330.00,      1330.00,                    18620.00,14, ,1,      1370.00,      1256.10
N,N4,DHFL,SEC RED NCD 8.88% SR. 2B,       389.00,       396.00,       398.00,       380.00,       380.62,                    54338.00,137, ,6,       500.00,       210.00
N,N4,IIFCL,8.91% TAX FREE NCD,      1404.14,      1421.00,      1430.00,      1421.00,      1426.00,                  1034878.10,725, ,11,      1494.00,      1325.10
N,N4,IIFL,SEC RED NCD 9.75 % SR.III,      1012.44,      1012.15,      1015.00,      1009.00,      1011.43,                   901671.47,891, ,43,      1057.80,       985.00
N,N4,PFC,8.20% TAX FREE NCD,      1080.00,      1080.00,      1080.00,      1080.00,      1080.00,                   162000.00,150, ,2,      1200.00,      1045.00
N,N4,RHFL,SEC RED NCD 9.05% SR. II,       227.15,       221.02,       221.02,       221.00,       221.00,                    90612.02,410, ,8,       263.00,       127.00
N,N5,DHANILOANS,DHANI LOANS & SERV LTD,      1268.36,      1250.00,      1250.00,      1250.00,      1250.00,                     6250.00,5, ,1,      1277.00,       801.05
N,N5,EHFLNCD,SEC RED NCD 9.57% SR. V,       970.00,       971.00,       997.99,       971.00,       991.51,                   279061.50,283, ,15,      1100.00,       795.00
