MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,ABSLBANETF,BIRLASLAMC - ABSLBANETF,       346.33,       346.45,       346.65,       345.61,       345.61,                     8652.03,25,8,       420.00,       193.90,NIFTY BANK
N,EQ,ABSLNN50ET,BIRLASLAMC - ABSLNN50ET,       392.00,       393.15,       393.15,       390.01,       393.15,                    78868.79,201,14,       417.00,       254.20,NIFTY NEXT 50 ETF
N,EQ,AXISBNKETF,AXISAMC - AXISBNKETF,       346.42,       347.66,       349.27,       345.00,       345.25,                    53864.38,155,22,       377.18,       241.11,NIFTY BANK INDEX
N,EQ,AXISBPSETF,AXISAMC - AXISBPSETF,        10.15,        10.15,        10.15,        10.13,        10.15,                    39306.26,3876,66,        10.44,        10.07,NIFTY AAA BOND PLUS SDL APR 2026 50:50 INDEX
N,EQ,AXISGOLD,AXIS MF - AXIS GOLD ETF,        40.48,        40.55,        40.99,        40.55,        40.92,                  5348388.50,130962,3941,      4503.40,        36.60,GOLD
N,EQ,AXISHCETF,AXISAMC - AXISHCETF,        87.82,        87.80,        88.40,        87.60,        87.86,                   350287.03,3987,179,       100.00,        82.53,NIFTY HEALTHCARE INDEX
N,EQ,AXISNIFTY,AXISAMC - AXISNIFTY,       164.23,       164.23,       174.88,       163.17,       163.19,                   601390.94,3667,139,      1255.82,       110.11,NIFTY 50
N,EQ,AXISTECETF,AXISAMC - AXISTECETF,       293.00,       295.00,       295.00,       287.65,       289.50,                   208737.64,717,39,       332.50,       250.95,NIFTY IT INDEX
N,EQ,BANKBEES,NIP IND ETF BANK BEES,       350.29,       355.00,       359.00,       349.05,       349.66,                190101309.15,542743,5190,       379.79,       205.86,NIFTY BANK
N,EQ,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,      4275.65,      4316.00,      4320.00,      4294.05,      4314.25,                   539008.40,125,81,      5445.00,      4033.10,GOLD
N,EQ,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,       173.95,       175.59,       175.59,       173.35,       173.42,                    39098.29,225,27,       195.20,       110.00,NIFTY 50
N,EQ,CPSEETF,CPSE ETF,        26.10,        26.23,        26.34,        25.91,        26.25,                 39344071.53,1503750,8212,        27.50,        15.65,NIFTY CPSE
N,EQ,EBANK,EDELWEISS ETF-NIFTY BANK,      3930.00,      3898.29,      3898.29,      3898.29,      3898.29,                     3898.29,1,1,      4123.24,      1995.90,NIFTY BANK
N,EQ,EBBETF0423,EDELAMC - EBBETF0423,      1136.37,      1135.00,      1138.00,      1135.00,      1138.00,                 39429259.36,34682,93,      1199.00,       875.90,NIFTY BHARAT BOND
N,EQ,EBBETF0425,EDELAMC - EBBETF0425,      1047.94,      1047.00,      1048.00,      1045.58,      1047.72,                  7640862.30,7296,56,      1115.90,       925.00,NIFTY BHARAT BOND
N,EQ,EBBETF0430,EDELAMC - EBBETF0430,      1161.08,      1160.94,      1160.99,      1159.15,      1160.43,                 18146454.41,15639,164,      1200.00,       895.00,NIFTY BHARAT BOND
