GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,DR. REDDY'S LABORATORIES,      5558.50,      5423.05,2.5
G,GAIL (INDIA) LTD,       153.00,       149.65,2.24
G,HINDALCO  INDUSTRIES  LTD,       379.40,       372.05,1.98
G,BAJAJ AUTO LIMITED,      4204.55,      4133.85,1.71
G,TATA MOTORS LIMITED,       344.25,       339.60,1.37
G,SUN PHARMACEUTICAL IND L,       684.15,       675.45,1.29
G,OIL AND NATURAL GAS CORP.,       118.85,       117.70,.98
G,ASIAN PAINTS LIMITED,      3021.60,      2992.70,.97
G,MARUTI SUZUKI INDIA LTD.,      7584.40,      7515.90,.91
G,NTPC LTD,       117.35,       116.40,.82
G,HERO MOTOCORP LIMITED,      2922.50,      2902.60,.69
G,CIPLA LTD,       978.10,       971.90,.64
G,DIVI'S LABORATORIES LTD,      4435.70,      4408.25,.62
G,KOTAK MAHINDRA BANK LTD,      1716.10,      1705.85,.6
G,TITAN COMPANY LIMITED,      1740.30,      1732.50,.45
G,STATE BANK OF INDIA,       420.40,       419.20,.29
G,HINDUSTAN UNILEVER LTD.,      2478.00,      2471.30,.27
G,MAHINDRA & MAHINDRA LTD,       779.45,       777.70,.23
G,HCL TECHNOLOGIES LTD,       985.50,       983.50,.2
G,EICHER MOTORS LTD,      2675.30,      2671.15,.16
G,ITC LTD,       203.00,       202.70,.15
G,GRASIM INDUSTRIES LTD,      1500.30,      1498.75,.1
G,NESTLE INDIA LIMITED,     17646.20,     17633.00,.07
 , , , , 
L,BAJAJ FINSERV LTD.,     11816.45,     12109.05,-2.42
L,SHREE CEMENT LIMITED,     27059.95,     27504.60,-1.62
L,BRITANNIA INDUSTRIES LTD,      3595.80,      3649.65,-1.48
L,INFOSYS LIMITED,      1560.40,      1580.80,-1.29
L,WIPRO LTD,       539.35,       545.65,-1.15
L,BHARAT PETROLEUM CORP  LT,       462.75,       468.10,-1.14
L,ULTRATECH CEMENT LIMITED,      6707.25,      6776.00,-1.01
L,TECH MAHINDRA LIMITED,      1085.15,      1095.45,-0.94
L,INDUSIND BANK LIMITED,      1007.70,      1016.35,-0.85
L,BAJAJ FINANCE LIMITED,      5967.15,      6015.85,-0.81
L,HDFC BANK LTD,      1486.75,      1497.90,-0.74
L,POWER GRID CORP. LTD.,       230.80,       232.40,-0.69
L,COAL INDIA LTD,       145.65,       146.65,-0.68
L,HDFC LTD,      2459.40,      2475.25,-0.64
L,RELIANCE INDUSTRIES LTD,      2097.95,      2110.65,-0.6
L,BHARTI AIRTEL LIMITED,       522.65,       525.65,-0.57
L,LARSEN & TOUBRO LTD.,      1492.30,      1500.55,-0.55
L,JSW STEEL LIMITED,       680.55,       683.90,-0.49
L,INDIAN OIL CORP LTD,       107.55,       107.90,-0.32
L,TATA STEEL LIMITED,      1163.55,      1166.60,-0.26
L,AXIS BANK LIMITED,       746.45,       748.30,-0.25
L,UPL LIMITED,       791.50,       792.85,-0.17
L,TATA CONSULTANCY SERV LT,      3341.50,      3345.75,-0.13
L,SBI LIFE INSURANCE CO LTD,      1006.90,      1008.15,-0.12
L,ADANI PORT & SEZ LTD,       703.10,       703.70,-0.09
L,HDFC LIFE INS CO LTD,       685.75,       686.30,-0.08
L,ICICI BANK LTD.,       630.85,       630.90,-0.01
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,INFO EDGE (I) LTD,      5317.15,      4915.75,8.17
G,DABUR INDIA LTD,       589.75,       568.75,3.69
G,INDRAPRASTHA GAS LTD,       570.60,       557.75,2.3
G,GODREJ CONSUMER PRODUCTS,       888.05,       870.25,2.05
G,INTERGLOBE AVIATION LTD,      1742.60,      1716.95,1.49
G,COLGATE PALMOLIVE LTD.,      1708.20,      1685.80,1.33
G,MOTHERSON SUMI SYSTEMS LT,       244.80,       242.10,1.12
G,SBI CARDS & PAY SER LTD,       980.95,       970.40,1.09
G,BOSCH LIMITED,     15187.60,     15025.15,1.08
G,HINDUSTAN PETROLEUM CORP,       296.20,       293.20,1.02
G,HAVELLS INDIA LIMITED,       989.00,       980.20,0.9
G,TORRENT PHARMACEUTICALS L,      2924.20,      2901.60,0.78
G,MARICO LIMITED,       534.90,       530.80,0.77
G,PIDILITE INDUSTRIES LTD,      2169.15,      2153.95,0.71
G,ALKEM LABORATORIES LTD.,      3219.50,      3199.35,0.63
G,BERGER PAINTS (I) LTD,       809.00,       805.10,0.48
G,BIOCON LIMITED.,       406.15,       404.45,0.42
G,UNITED SPIRITS LIMITED,       663.95,       661.65,0.35
G,AUROBINDO PHARMA LTD,       968.05,       965.20,0.3
