MKT,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y,Nifty 50,     15721.50,     15755.05,     15755.55,     15667.05,     15680.00,531063087162.00,2925185881,Y, ,18728135,     15915.65,     10562.65
Y,NIFTY50 EQL Wgt,     17666.05,     17699.25,     17714.35,     17642.45,     17660.00,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 EQL Wgt,     18814.55,     18847.50,     18877.80,     18805.20,     18831.10,0,0,Y, ,0,          .00,          .00
Y,NIFTY100 LowVol30,     12302.30,     12327.30,     12347.10,     12300.30,     12320.55,0,0,Y, ,0,          .00,          .00
Y,NIFTY Alpha 50,     27135.00,     27160.40,     27177.30,     26964.70,     27096.40,0,0,Y, ,0,          .00,          .00
Y,NIFTY MIDCAP 150,     10182.05,     10204.90,     10206.25,     10147.40,     10160.45,0,0,Y, ,0,     10316.30,      5642.10
Y,NIFTY SMLCAP 50,      4891.35,      4914.30,      4941.05,      4895.95,      4924.55,0,0,Y, ,0,      4949.60,      2204.25
Y,NIFTY SMLCAP 250,      8452.25,      8497.55,      8513.95,      8475.60,      8502.10,0,0,Y, ,0,      8513.95,      4126.50
Y,NIFTY MIDSML 400,      9559.30,      9590.05,      9594.00,      9546.55,      9562.85,0,0,Y, ,0,      9646.50,      5103.90
Y,NIFTY200 QUALTY30,     13433.05,     13466.20,     13500.05,     13439.20,     13469.85,0,0,Y, ,0,          .00,          .00
Y,Nifty FinSrv25 50,     16521.20,     16578.15,     16578.15,     16421.10,     16434.50,0,0,Y, ,0,          .00,          .00
Y,NIFTY AlphaLowVol,     15701.25,     15746.55,     15772.80,     15703.00,     15754.85,0,0,Y, ,0,          .00,          .00
Y,Nifty200Momentm30,     17842.65,     17902.95,     17916.20,     17805.60,     17834.25,0,0,Y, ,0,          .00,          .00
Y,Nifty100ESGSecLdr,      2682.20,      2687.00,      2687.10,      2673.15,      2675.40,0,0,Y, ,0,          .00,          .00
Y,Nifty IT,     29168.00,     29193.05,     29193.05,     28953.05,     29003.10,0,0,Y, ,0,     29311.55,     15148.50
Y,Nifty Next 50,     38513.25,     38588.30,     38727.00,     38524.55,     38642.25,0,0,Y, ,0,     39399.60,     25614.15
Y,Nifty Bank,     34772.20,     34866.00,     34917.65,     34650.95,     34684.00,0,0,Y, ,0,     37708.75,     20404.90
Y,NIFTY MIDCAP 100,     26970.75,     27023.05,     27025.35,     26841.05,     26882.60,0,0,Y, ,0,     27474.45,     14784.70
Y,Nifty 500,     13473.55,     13504.70,     13505.05,     13441.55,     13454.10,0,0,Y, ,0,     13634.35,      8650.60
Y,Nifty 100,     15959.40,     15992.20,     15992.75,     15913.30,     15928.10,0,0,Y, ,0,     16167.60,     10725.70
Y,Nifty Midcap 50,      7474.80,      7496.05,      7496.05,      7430.30,      7439.55,0,0,Y, ,0,      7656.15,      4083.85
Y,Nifty Realty,       343.95,       345.35,       347.50,       342.30,       342.80,0,0,Y, ,0,       365.60,       192.40
Y,Nifty Infra,      4339.25,      4348.75,      4352.75,      4321.30,      4327.35,0,0,Y, ,0,      4530.00,      2952.65
Y,Nifty Energy,     19822.40,     19870.40,     19894.15,     19680.70,     19708.55,0,0,Y, ,0,     21066.10,     14070.75
Y,Nifty FMCG,     36093.20,     36197.35,     36283.00,     36097.20,     36234.90,0,0,Y, ,0,     36565.25,     28969.35
Y,Nifty MNC,     17506.70,     17518.15,     17578.20,     17484.65,     17504.25,0,0,Y, ,0,     17606.50,     13180.90
Y,Nifty Pharma,     14308.90,     14327.40,     14465.35,     14294.40,     14442.45,0,0,Y, ,0,     14530.95,      9852.30
Y,Nifty PSE,      3609.45,      3618.90,      3620.80,      3595.20,      3604.65,0,0,Y, ,0,      3766.05,      2141.20
Y,Nifty PSU Bank,      2518.80,      2530.25,      2540.10,      2513.60,      2522.20,0,0,Y, ,0,      2660.60,      1232.55
Y,Nifty Serv Sector,     21889.75,     21940.00,     21940.00,     21775.15,     21791.10,0,0,Y, ,0,     22214.90,     13868.00
Y,India VIX,13.0450,13.0450,13.2825,12.3300,12.8400,0,0,Y, ,0,29.6450,10.6000
Y,Nifty Auto,     10600.35,     10620.15,     10744.10,     10619.55,     10687.70,0,0,Y, ,0,     11093.15,      6853.75
Y,Nifty Metal,      5215.80,      5234.55,      5255.40,      5194.75,      5207.40,0,0,Y, ,0,      5524.25,      1999.30
Y,Nifty Media,      1797.50,      1799.50,      1808.15,      1791.65,      1794.75,0,0,Y, ,0,      1927.25,      1270.20
Y,NIFTY SMLCAP 100,      9733.75,      9775.90,      9818.45,      9745.65,      9798.40,0,0,Y, ,0,      9824.05,      4686.55
Y,Nifty 200,      8325.55,      8342.55,      8342.75,      8300.10,      8307.85,0,0,Y, ,0,      8437.30,      5466.35
Y,Nifty Div Opps 50,      3345.80,      3351.15,      3351.45,      3336.05,      3340.35,0,0,Y, ,0,      3365.05,      2282.60
Y,Nifty Commodities,      5138.65,      5151.75,      5154.70,      5112.85,      5118.20,0,0,Y, ,0,      5323.50,      2811.70
Y,Nifty Consumption,      6330.20,      6347.05,      6381.70,      6343.90,      6370.00,0,0,Y, ,0,      6384.80,      4796.75
Y,Nifty Fin Service,     16444.10,     16496.50,     16500.50,     16361.25,     16376.85,0,0,Y, ,0,     17654.45,     10113.55
Y,Nifty50 Div Point,        72.08,        72.08,        72.08,        72.08,        72.08,0,0,Y, ,0,          .00,          .00
Y,Nifty100 Liq 15,      3963.20,      3972.05,      3975.40,      3949.80,      3953.95,0,0,Y, ,0,      4068.60,      2478.50
Y,Nifty CPSE,      2052.65,      2055.45,      2067.10,      2044.30,      2064.10,0,0,Y, ,0,      2125.45,      1252.35
Y,Nifty GrowSect 15,      7620.30,      7632.15,      7691.75,      7627.05,      7682.85,0,0,Y, ,0,      7694.25,      5019.95
Y,Nifty50 PR 2x Lev,      7429.20,      7460.25,      7460.25,      7377.65,      7389.30,0,0,Y, ,0,      7615.10,      3557.50
Y,Nifty50 PR 1x Inv,       279.70,       279.15,       280.70,       279.15,       280.45,0,0,Y, ,0,       414.70,       276.25
Y,Nifty50 TR 2x Lev,     10007.35,     10049.20,     10049.20,      9937.90,      9953.60,0,0,Y, ,0,     10248.65,      4683.45
Y,Nifty50 TR 1x Inv,       241.10,       240.60,       241.95,       240.60,       241.75,0,0,Y, ,0,       362.00,       238.25
Y,Nifty50 Value 20,      8064.55,      8073.40,      8073.75,      8036.75,      8051.45,0,0,Y, ,0,      8124.80,      5114.65
Y,Nifty Mid Liq 15,      6278.65,      6301.95,      6315.75,      6269.70,      6296.85,0,0,Y, ,0,      6506.30,      3430.30
Y,Nifty Pvt Bank,     18293.50,     18332.90,     18355.75,     18214.70,     18232.10,0,0,Y, ,0,     20068.55,     11219.00
Y,NIFTY100 Qualty30,      3619.85,      3627.50,      3634.35,      3619.70,      3627.90,0,0,Y, ,0,          .00,          .00
Y,Nifty GS 8 13Yr,      2269.68,      2270.07,      2271.83,      2270.07,      2271.33,0,0,Y, ,0,          .00,          .00
