SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
396GS2022,GS,GOI LOAN  3.96% 2022,H
522GS2025,GS,GOI LOAN 5.22% 2025,H
AAATECH,SM,AAA TECHNOLOGIES LIMITED,H
ABSLRIF6RD,MF,BIRLASLAMC - ABSLRIF6RD,H
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,H
ADSL,EQ,ALLIED DIGITAL SERV. LTD,H
AFFLE,BE,AFFLE (INDIA) LIMITED,H
AGCNET,BE,AGC NETWORKS LIMITED,H
AHLADA,EQ,AHLADA ENGINEERS LIMITED,H
AKSHOPTFBR,BE,AKSH OPTIFIBRE  LTD,H
ALMONDZ,EQ,ALMONDZ GLOBAL SEC LTD,H
ANIKINDS,EQ,ANIK INDUSTRIES LTD,H
ANKITMETAL,BE,ANKIT MET & POW LTD,H
ANSALHSG,EQ,ANSAL HOUSING LIMITED,H
APEX,EQ,APEX FROZEN FOODS LIMITED,H
ARCHIDPLY,BE,ARCHIDPLY IND. LTD,H
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LTD,H
ASLIND,SM,ASL INDUSTRIES LIMITED,H
ATLANTA,BE,ATLANTA LIMITED,H
AVG,SM,AVG LOGISTICS LIMITED,H
BAJAJHIND,EQ,BAJAJ HINDUSTHAN SUGAR LT,H
BANG,EQ,BANG OVERSEAS LTD.,H
BCG,EQ,BRIGHTCOM GROUP LIMITED,H
BESTAGRO,EQ,BEST AGROLIFE LIMITED,H
BETA,SM,BETA DRUGS LIMITED,H
BHANDARI,EQ,BHANDARI HOSIERY EXP LTD,H
BHARATWIRE,EQ,BHARAT WIRE ROPES LTD.,H
BRFL,BE,BOMBAY RAYON FASHIONS LTD,H
BYKE,BE,THE BYKE HOSPITALITY LTD,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CEBBCO,EQ,COMMERCIAL ENG & CO. LTD,H
CELEBRITY,EQ,CELEBRITY FASHIONS LTD,H
CINEVISTA,BE,CINEVISTA LIMITED,H
CONSOFINVT,EQ,CONSO. FIN. & HOLD. LTD.,H
COUNCODOS,BE,COUNTRY CONDO'S LIMITED,H
CREATIVE,EQ,CREATIVE PERI & DIST LTD.,H
CROWN,SM,CROWN LIFTERS LTD.,H
CTE,EQ,CAMBRIDGE TECH ENTER LTD,H
CUBEXTUB,BE,CUBEXTUBINGS-ROLLSETT,H
DALALSTCOM,BE,DSJ COMMUNICATIONS LTD.,H
DAMODARIND,EQ,DAMODAR INDUSTRIES LTD,H
DCMFINSERV,EQ,DCM FINANCIAL SERVICES LT,H
DGCONTENT,BE,DIGICONTENT LIMITED,H
DHARSUGAR,EQ,DHARANI SUGARS & CHEMICAL,H
DRCSYSTEMS,BE,DRC SYSTEMS INDIA LIMITED,H
DSML,SM,DEBOCK SALE MARKETING LTD,H
EASUNREYRL,BZ,EASUN REYROLLE LTD,H
EBANK,EQ,EDELWEISS ETF-NIFTY BANK,H
